Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Segment
Male,48,61,42,0,Older Medium-Spending Customers
Male,20,61,49,2,Young High-Spending Customers
Female,23,62,41,2,Young High-Spending Customers
Female,49,62,48,0,Older Medium-Spending Customers
Male,67,62,59,0,Older Medium-Spending Customers
Male,26,62,55,2,Young High-Spending Customers
Male,49,62,56,0,Older Medium-Spending Customers
Female,21,62,42,2,Young High-Spending Customers
Female,66,63,50,0,Older Medium-Spending Customers
Male,54,63,46,0,Older Medium-Spending Customers
Male,68,63,43,0,Older Medium-Spending Customers
Male,66,63,48,0,Older Medium-Spending Customers
Male,65,63,52,0,Older Medium-Spending Customers
Female,19,63,54,2,Young High-Spending Customers
Female,38,64,42,3,High Income Low-Spending Customers
Male,19,64,46,2,Young High-Spending Customers
Female,18,65,48,2,Young High-Spending Customers
Female,19,65,50,2,Young High-Spending Customers
Female,63,65,43,0,Older Medium-Spending Customers
Female,49,65,59,0,Older Medium-Spending Customers
Female,51,67,43,0,Older Medium-Spending Customers
Female,50,67,57,0,Older Medium-Spending Customers
Male,27,67,56,2,Young High-Spending Customers
Female,38,67,40,3,High Income Low-Spending Customers
Female,40,69,58,1,High Income High Spending Customers
Male,39,69,91,1,High Income High Spending Customers
Female,23,70,29,3,High Income Low-Spending Customers
Female,31,70,77,1,High Income High Spending Customers
Male,43,71,35,3,High Income Low-Spending Customers
Male,40,71,95,1,High Income High Spending Customers
Male,59,71,11,0,Older Medium-Spending Customers
Male,38,71,75,1,High Income High Spending Customers
Male,47,71,9,3,High Income Low-Spending Customers
Male,39,71,75,1,High Income High Spending Customers
Female,25,72,34,3,High Income Low-Spending Customers
Female,31,72,71,1,High Income High Spending Customers
Male,20,73,5,3,High Income Low-Spending Customers
Female,29,73,88,1,High Income High Spending Customers
Female,44,73,7,3,High Income Low-Spending Customers
Male,32,73,73,1,High Income High Spending Customers
Male,19,74,10,3,High Income Low-Spending Customers
Female,35,74,72,1,High Income High Spending Customers
Female,57,75,5,3,High Income Low-Spending Customers
Male,32,75,93,1,High Income High Spending Customers
Female,28,76,40,3,High Income Low-Spending Customers
Female,32,76,87,1,High Income High Spending Customers
Male,25,77,12,3,High Income Low-Spending Customers
Male,28,77,97,1,High Income High Spending Customers
Male,48,77,36,3,High Income Low-Spending Customers
Female,32,77,74,1,High Income High Spending Customers
Female,34,78,22,3,High Income Low-Spending Customers
Male,34,78,90,1,High Income High Spending Customers
Male,43,78,17,3,High Income Low-Spending Customers
Male,39,78,88,1,High Income High Spending Customers
Female,44,78,20,3,High Income Low-Spending Customers
Female,38,78,76,1,High Income High Spending Customers
Female,47,78,16,3,High Income Low-Spending Customers
Female,27,78,89,1,High Income High Spending Customers
Male,37,78,1,3,High Income Low-Spending Customers
Female,30,78,78,1,High Income High Spending Customers
Male,34,78,1,3,High Income Low-Spending Customers
Female,30,78,73,1,High Income High Spending Customers
Female,56,79,35,0,Older Medium-Spending Customers
Female,29,79,83,1,High Income High Spending Customers
Male,19,81,5,3,High Income Low-Spending Customers
Female,31,81,93,1,High Income High Spending Customers
Male,50,85,26,3,High Income Low-Spending Customers
Female,36,85,75,1,High Income High Spending Customers
Male,42,86,20,3,High Income Low-Spending Customers
Female,33,86,95,1,High Income High Spending Customers
Female,36,87,27,3,High Income Low-Spending Customers
Male,32,87,63,1,High Income High Spending Customers
Male,40,87,13,3,High Income Low-Spending Customers
Male,28,87,75,1,High Income High Spending Customers
Male,36,87,10,3,High Income Low-Spending Customers
Male,36,87,92,1,High Income High Spending Customers
Female,52,88,13,3,High Income Low-Spending Customers
Female,30,88,86,1,High Income High Spending Customers
Male,58,88,15,3,High Income Low-Spending Customers
Male,27,88,69,1,High Income High Spending Customers
Male,59,93,14,3,High Income Low-Spending Customers
Male,35,93,90,1,High Income High Spending Customers
Female,37,97,32,3,High Income Low-Spending Customers
Female,32,97,86,1,High Income High Spending Customers
Male,46,98,15,3,High Income Low-Spending Customers
Female,29,98,88,1,High Income High Spending Customers
Female,41,99,39,3,High Income Low-Spending Customers
Male,30,99,97,1,High Income High Spending Customers
Female,54,101,24,3,High Income Low-Spending Customers
Male,28,101,68,1,High Income High Spending Customers
Female,41,103,17,3,High Income Low-Spending Customers
Female,36,103,85,1,High Income High Spending Customers
Female,34,103,23,3,High Income Low-Spending Customers
Female,32,103,69,1,High Income High Spending Customers
Male,33,113,8,3,High Income Low-Spending Customers
Female,38,113,91,1,High Income High Spending Customers
Female,47,120,16,3,High Income Low-Spending Customers
Female,35,120,79,1,High Income High Spending Customers
Female,45,126,28,3,High Income Low-Spending Customers
Male,32,126,74,1,High Income High Spending Customers
Male,32,137,18,3,High Income Low-Spending Customers
Male,30,137,83,1,High Income High Spending Customers
